SessionID,Participant,InputMode,Task,Effect,SessionIndex,SampleRows,SampleDurationSeconds,PointerPathMeters,PointerMeanSpeedMps,PointerP95SpeedMps
42318883-68ec-414c-a4a1-d0f37a95648e,1,controller,LineBisection,None,1,10777,276.13350009918213,69.68990398544778,0.23905418473129514,1.0045905498951468
b78da051-a2ef-4943-a01e-c8707ae221d3,1,controller,LineBisection,Skew,2,8523,217.55299997329712,80.97625646070514,0.3501272446700519,1.178046899615363
eb4be3d6-5ee7-426d-8af7-d17239446675,1,controller,LineBisection,Rotation,3,6674,172.019700050354,58.304076583673975,0.3261923886397814,1.0116237358880324
36a235a5-366d-409f-a764-dfdac1360b2f,1,controller,LineBisection,Translation,4,7180,183.88579988479614,61.72199812823917,0.32534931874410195,1.026183329918915
b3dcd35b-3e1e-49ff-95af-e3add3052041,1,controller,OpenLoop,None,5,6044,155.49839997291565,56.089399950151645,0.34481641882599456,1.1441030111816353
540a0b4b-47c2-4e43-932d-947cdcdc1678,1,controller,OpenLoop,Rotation,6,6841,176.34479999542236,64.28063811779151,0.3551657346642966,1.2583939657016086
107aee00-c8b0-473a-983e-b46c6c7c3862,1,controller,OpenLoop,Translation,7,5756,148.10520005226135,68.58043006642855,0.43447341004290446,1.2884139016424538
20037a75-04a2-485b-b9b3-1bd918487feb,1,controller,OpenLoop,Skew,8,5819,149.92820000648499,70.97447253758965,0.44292461295121616,1.3499595631902233
c5906ef1-fc43-4d8c-aeff-5c30adc4e116,2,embodied,LineBisection,None,1,7269,185.969899892807,54.58585490233505,0.29446113658257567,1.2138907316025938
6782ccee-baad-4c13-be16-9882dd62b0c0,2,embodied,LineBisection,Translation,2,4532,117.64350008964539,47.30552059403749,0.40131708843913766,1.414889241314369
6b7dde0e-9838-4e7f-a9cc-dabf194032f7,2,embodied,LineBisection,Skew,3,3753,98.08010005950928,50.228434805195306,0.523592972256585,1.4943110605528855
d4c665a3-42ef-425b-b404-c00bbf985e99,2,embodied,LineBisection,Rotation,4,3955,103.22580003738403,47.71042391976959,0.46952886138145067,1.352235454402153
ba781de9-4bf5-4d81-aeb7-9046118a1af2,2,embodied,OpenLoop,None,5,4360,113.43179988861084,50.71817194399872,0.4534563582134408,1.3203545099854441
fda65a7e-d871-48d0-82fe-45428d652edc,2,embodied,OpenLoop,Rotation,6,3711,97.16320013999939,45.294601645396966,0.4727092054895046,1.4110591683528455
f930aaaa-db78-4d71-b564-0787e7aa09d8,2,embodied,OpenLoop,Translation,7,3786,99.00329995155334,48.24787352316483,0.49032895688212186,1.424848887705264
46969c4b-2c36-421c-b922-129be17abb0a,2,embodied,OpenLoop,Skew,8,3940,103.00859999656677,46.1355374436251,0.4536510209484305,1.3458244668301835
7ab13136-1258-45c3-9379-a76a89fb0f75,3,controller,OpenLoop,None,1,13186,334.07539987564087,59.08555023149224,0.16949808466664743,1.0145348574490551
cb610404-0a15-474d-99f0-8228d016689e,3,controller,OpenLoop,Translation,2,8177,207.8840000629425,54.99301941568962,0.259166086631022,1.2632435884724333
ae012684-85cc-4354-b62d-3114531fea13,3,controller,OpenLoop,Rotation,3,6197,157.76059985160828,54.051409880732535,0.32498479983308715,1.4262081092093444
bbc19c7c-faf4-49e1-8e95-131c65804a95,3,controller,OpenLoop,Skew,4,8117,206.40790009498596,63.92487249374791,0.3018167258720533,1.6443070734168588
5d521cb2-fe84-42ce-aa71-0291488edf79,3,controller,LineBisection,None,5,7774,198.0346999168396,59.503842414785645,0.2991606380225181,1.5905097638782808
1d1e02bf-0f1f-4c78-9878-ce71b6ec9922,3,controller,LineBisection,Skew,6,7962,202.40330004692078,69.92858084169322,0.33226264065903144,1.795441593492506
aa6efd29-0242-41a7-ab6c-194ae778e035,3,controller,LineBisection,Translation,7,5736,146.65519976615906,62.614002999727596,0.3923425922821947,1.9047403502960618
91a82621-78ab-43cf-b0fe-baec65b685de,3,controller,LineBisection,Rotation,8,6182,157.57430005073547,58.48651882606657,0.3535365754149703,1.7218465963384997
fbc2a2e1-f00c-4e7c-a680-54ef0f77ec4b,4,embodied,OpenLoop,None,1,9205,233.97319984436035,62.48395756383838,0.2695297561118556,1.4152174176593644
26652c78-001e-4ac9-8f08-7fe55a0af253,4,embodied,OpenLoop,Skew,2,9973,253.55739998817444,58.95197304037165,0.23174578860312176,1.2453153397763654
6c7400a6-89bc-4993-9fd4-d147db8f3f29,4,embodied,OpenLoop,Rotation,3,8450,215.31439995765686,59.54923058129779,0.27964855157792734,1.678406401754351
e080abcf-a665-400a-8aea-66073c16e6aa,4,embodied,OpenLoop,Translation,4,6177,158.46520018577576,49.66633525974236,0.3160243158107139,1.672832838222261
b32c50eb-0379-4adf-9b7c-9e88c5673e6d,4,embodied,LineBisection,None,5,5450,139.8034999370575,40.81546694291578,0.2962279090038185,1.601365589951101
dbd14eb7-93fb-46a1-a53b-11c1f28101f5,4,embodied,LineBisection,Translation,6,5367,138.7441999912262,51.07871469550145,0.37031618811192807,1.79868024546112
01f7c855-4b29-48bf-8878-94e7967c92f9,4,embodied,LineBisection,Rotation,7,4799,123.75859999656677,46.76493523226411,0.38566592492234714,1.8024881398921122
3565afbf-e228-42f6-bdf6-9708f9440b2b,4,embodied,LineBisection,Skew,8,5908,151.83570003509521,50.45394473209778,0.3321654704106712,1.7359873760162818
06d604e9-e55d-4a3a-ad7e-32b8d9774280,5,controller,LineBisection,None,1,6782,173.873300075531,61.311088372001045,0.33936232696192115,1.27558358826802
a664a743-f9ba-44e9-8b30-263fdef31220,5,controller,LineBisection,Rotation,2,3719,96.60049986839294,50.203576810865336,0.5252642104919752,1.6315261247141963
6257f534-574e-4191-8222-f73ead73e61a,5,controller,LineBisection,Translation,3,3596,93.36670017242432,48.67688461386631,0.5039285140422749,1.431594973171191
43bdf1cc-da42-40b8-b270-eba087d1c4e7,5,controller,LineBisection,Skew,4,3603,93.76639986038208,46.66429578490336,0.4969210874302251,1.4299595851907654
bb9ae747-496d-4db5-84d8-e7e270726f81,5,controller,OpenLoop,None,5,3412,89.43829989433289,45.4158683580876,0.5182085199376788,1.5565754808772836
3fd0ae94-f7bf-499d-9804-11d4bd90a7c0,5,controller,OpenLoop,Rotation,6,3047,79.73079991340637,45.50285742437718,0.5819226080158343,1.6593898406405452
f0586561-86fb-4bd8-b577-ce70f85c4dab,5,controller,OpenLoop,Skew,7,3147,82.24729990959167,44.619904073349744,0.5413463535249531,1.5840233968266535
c051f9e7-ae3e-4fc8-a4cc-5a168ecde2ae,5,controller,OpenLoop,Translation,8,2966,77.89550018310547,43.956452166990026,0.5378284849276097,1.5505115706160761
080f1ce7-d696-417a-a6b8-72d8618a70d0,6,embodied,LineBisection,None,1,11447,292.0629999637604,77.80165088906715,0.25705944684944393,1.3342989020127516
b529d3a4-b51a-4eec-b995-f74e31f7f71d,6,embodied,LineBisection,Rotation,2,5716,147.01670002937317,58.466533514616586,0.383570696463275,1.7272814232799467
a60c3fbb-1af8-4430-b022-706f8f97bbd5,6,embodied,LineBisection,Translation,3,5199,134.08270001411438,58.38380301361249,0.42499090930041405,1.901334254110549
d21d7c3c-c1c1-4405-a0d2-0b66b4e0fcf3,6,embodied,LineBisection,Skew,4,5459,140.78710007667542,55.57597924291857,0.38252710985287347,1.9854393575715656
27e99e72-793b-41f0-b986-2a1396c6437e,6,embodied,OpenLoop,None,5,5064,130.74320006370544,59.659511764452866,0.4479613566423079,2.2319050786174106
e7fb662b-8755-4a6e-83bf-a1c391efb0ae,6,embodied,OpenLoop,Skew,6,5829,149.80320000648499,61.7610268402764,0.3983450744981317,2.1934239596403904
c7c22ca3-2ab7-47ef-82b5-bec145525f15,6,embodied,OpenLoop,Translation,7,5237,135.23569989204407,64.25212614771796,0.461173139698212,2.193861801829368
722f780d-66a5-408e-a3e3-9bd168f7957c,6,embodied,OpenLoop,Rotation,8,5613,144.4581000804901,71.19477485786173,0.47003796699411904,2.1454777516387034
d81a3c64-c6b7-451d-b5bb-388295daabaf,7,controller,OpenLoop,None,1,6960,178.2023000717163,64.67098732069131,0.35037957534538633,1.758370213313438
e51a9208-22aa-4fec-9984-0f83068a21fd,7,controller,OpenLoop,Skew,2,7164,184.0550000667572,61.28688742611015,0.31964627547514396,1.5845245747173642
21b56a2e-0a1d-470a-9c6f-596395265923,7,controller,OpenLoop,Translation,3,5212,135.57209992408752,58.65523674377154,0.41871363319710664,1.663922740305771
9e394308-7b7a-472c-9d0c-6bf4cdddeaea,7,controller,OpenLoop,Rotation,4,4805,124.52559995651245,63.241364984836075,0.49429279283310174,1.7817375021529822
74d4a84a-9ea9-40e4-aef7-0306199b4117,7,controller,LineBisection,None,5,4874,125.95630002021791,61.39795075836822,0.4949384451250318,1.7174588217093132
04353427-ddf1-45a0-aeba-07ddf5a4a350,7,controller,LineBisection,Translation,6,5865,150.90399980545044,61.08617274270534,0.39052069656437743,1.5427706868755338
b6de66af-0ca8-4e0d-9020-5f509b888453,7,controller,LineBisection,Rotation,7,4923,127.16709995269775,58.93274999474348,0.44919195490877545,1.6650742778104584
61d455e7-7874-4d12-b438-afdee70126e2,7,controller,LineBisection,Skew,8,6803,175.36749982833862,62.74659769255867,0.34491928944608474,1.6096709551950465
49534be7-84c8-4d02-9075-f0f2e56db3a8,8,embodied,OpenLoop,None,1,9656,246.00479984283447,72.22205173854633,0.29027967876085237,1.2790281094968006
869ed84a-f267-4daa-869b-ca8235287d0f,8,embodied,OpenLoop,Rotation,2,7142,183.04320001602173,53.95901578510483,0.2963072439113615,1.317251800574887
8f50aae6-b218-4dca-bbd3-f5c980f81534,8,embodied,OpenLoop,Translation,3,5407,140.2376000881195,47.809120981182204,0.3391639872351207,1.4424244712417897
b25ae75e-e373-4581-bcbe-189384e2a037,8,embodied,OpenLoop,Skew,4,6561,169.80809998512268,61.887653124001844,0.3601964049166273,1.5141865785256143
1fda7ca1-e5a0-4d07-83d8-9ddd92e3f289,8,embodied,LineBisection,None,5,5681,146.73739981651306,47.042185399517805,0.32566529581523823,1.4115625037509396
1481dd94-3767-4117-82de-b404f9937286,8,embodied,LineBisection,Skew,6,6852,176.25139999389648,57.11257338769139,0.3240348662571902,1.4266573902447084
32594430-438f-4bbf-85ad-3a8944048512,8,embodied,LineBisection,Rotation,7,6183,159.54159998893738,56.989220478870806,0.36171953813572066,1.4717934196221665
87025cfa-6aeb-4b45-b6e6-25c6d98cdf5a,8,embodied,LineBisection,Translation,8,5265,135.62749981880188,49.76391666230781,0.3648579702125282,1.4917325408561684
366c84cd-10e1-4184-a7a4-49531ddbc928,9,controller,LineBisection,None,1,6748,227.7220001220703,65.29762737901,0.27650006984437936,1.2832349986773957
60f7ba56-f959-47f0-918d-482f528b868e,9,controller,LineBisection,Rotation,2,4210,146.7781000137329,56.22216257473548,0.37640391622038927,1.6317173596617212
19bd2d3f-1c45-4dd7-8d05-bee060d4f5f5,9,controller,LineBisection,Skew,3,4209,145.59130001068115,59.482053717502346,0.3914112128110214,1.6932798457967548
96b83aeb-53c5-4e5f-aeeb-cd56bf5326e7,9,controller,LineBisection,Translation,4,4639,161.0034999847412,58.887236791824265,0.35080620284237274,1.6356617759781402
3f9125f6-599b-49ba-a408-53f9ff78ffbc,9,controller,OpenLoop,None,5,3850,134.08560013771057,54.970192154279,0.40556212658666596,1.7616514855647694
8f62e9e8-eb0c-4a58-8197-935b26014d50,9,controller,OpenLoop,Translation,6,3454,119.19259977340698,53.0199390746156,0.43315007586290893,1.797816792024567
ca081731-36ba-4132-bc42-4a33bf158f4a,9,controller,OpenLoop,Rotation,7,3316,114.47009992599487,50.887827580256264,0.43616472240213927,1.7868575168369727
2da1cdd7-8599-44d1-95d8-90a901c55b17,9,controller,OpenLoop,Skew,8,3575,124.7690999507904,51.00718733738698,0.39961109779477,1.7427290812797187
f17c3f18-5eb1-4008-b305-9221bf420b8a,10,embodied,LineBisection,None,1,10922,368.8622000217438,78.95951427031451,0.20803841317782576,0.9806111275896594
06bddb67-b68d-47fd-b5b7-41225274eec5,10,embodied,LineBisection,Translation,2,3967,136.80829977989197,56.614398492496306,0.41249022194345125,1.552119728146506
58000219-8c03-4c67-89a1-b527893dadbc,10,embodied,LineBisection,Skew,3,4650,160.719300031662,58.78887603135612,0.36361969642960706,1.7624895596673762
d1608227-5f71-4a30-b919-5b5405bdc564,10,embodied,LineBisection,Rotation,4,3252,114.43089985847473,65.50176118398623,0.5726853874746095,2.007784168530576
7df2511c-56e6-48aa-9315-08a69820fcbf,10,embodied,OpenLoop,None,5,3008,107.53980016708374,62.656219948602455,0.5780472441243796,2.2085113130414813
29ebf3a7-4bf8-481f-9592-8f6b15569e0c,10,embodied,OpenLoop,Translation,6,2884,102.51939988136292,66.06022623532937,0.6599518300132987,2.59876996987761
b26f18f4-8976-4f3a-a955-8a5922baecfd,10,embodied,OpenLoop,Rotation,7,2478,88.91020011901855,63.20421597319866,0.7220697870683435,2.572614078224851
79d35f73-6194-4e91-a266-599f00a040d4,10,embodied,OpenLoop,Skew,8,2901,103.31439995765686,58.451390856527844,0.5673611693450926,2.132982725072755
